Time,SecL,RPM,MAP,MAPxRPM,TPS,AFR,Lambda,IAT,CLT,Engine,DFCO,Gego,Gair,Gbattery,Gwarm,Gbaro,Gammae,Accel Enrich,VE (Current,VE1,VE2,PW,PW2,PW3,PW4,AFR Target,Lambda Target,Duty Cycle,Duty Cycle (Staging,TPS DOT,Advance (Current,Dwell,Dwell (Measured,Battery V,rpm/s,Boost PSI,Boost cut,Hard Launch,Hard Limiter,Idle Control,IAC value,Baro Pressure,Fan,Sync Loss #,Loops/s,Loops/rev,Aux0,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Aux7,Aux8,Aux9,Aux10,Aux11,Aux12,Aux13,Aux14,Aux15,Advance 1,Advance 2,FuelLoad,IgnitionLoad,Sync status,Engine Prot. RPM,Engine Prot. CLT,Trip Meter Miles,Odometer Miles,Vehicle Speed,Power,Torque
17.729,44,171,99,16929.0,39.5,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,140,51,51,0,9.375,9.375,0.000,0.000,11.400,1.267,1.3,0.0,135,5,4.500,4.517,12.9,-220,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,435.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.796,44,333,97,32301.0,43.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,140,51,51,0,9.244,9.244,0.000,0.000,11.400,1.267,2.6,0.0,45,5,4.500,4.516,12.8,-220,-0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,223.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,97.0,97.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.864,44,172,100,17200.0,43.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,140,51,51,0,9.419,9.419,0.000,0.000,11.400,1.267,1.4,0.0,0,5,4.500,4.512,12.8,740,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,432.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,100.0,100.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.932,44,300,96,28800.0,29.0,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.351,6.351,0.000,0.000,11.400,1.267,1.6,0.0,-300,5,4.500,4.512,12.8,740,-0.6,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,248.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,96.0,96.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.000,44,191,99,18909.0,9.0,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.525,6.525,0.000,0.000,11.400,1.267,1.0,0.0,-210,5,4.500,4.512,12.8,300,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,389.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.063,44,237,102,24174.0,11.0,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.698,6.698,0.000,0.000,11.400,1.267,1.3,0.0,120,5,4.500,4.512,12.9,-380,0.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,314.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,102.0,102.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.126,44,181,99,17919.0,26.5,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.765,10.765,0.000,0.000,11.400,1.267,1.6,0.0,255,5,4.500,4.512,12.9,-380,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,411.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.196,44,255,97,24735.0,35.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.634,10.634,0.000,0.000,11.400,1.267,2.3,0.0,60,5,4.500,4.512,12.9,-530,-0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,97.0,97.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.262,44,189,100,18900.0,38.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.809,10.809,0.000,0.000,11.400,1.267,1.7,0.0,15,5,4.500,4.512,12.9,-40,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,393.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,100.0,100.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.330,44,219,98,21462.0,36.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.678,10.678,0.000,0.000,11.400,1.267,1.9,0.0,-60,5,4.500,4.512,12.9,-40,-0.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,98.0,98.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.398,44,176,99,17424.0,26.5,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.525,6.525,0.000,0.000,11.400,1.267,1.0,0.0,-285,5,4.500,4.512,12.9,-180,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,423.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.464,44,291,97,28227.0,12.5,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.394,6.394,0.000,0.000,11.400,1.267,1.6,0.0,-105,5,4.500,4.512,12.9,940,-0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,255.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,97.0,97.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.529,44,197,97,19109.0,13.0,11.400,1.267,37.0,33.0,42,0.0,100,100,100.0,126,100,158,100,51,51,0,6.394,6.394,0.000,0.000,11.400,1.267,1.0,0.0,30,5,4.500,4.512,12.9,940,-0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,377.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,97.0,97.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.594,45,262,99,25938.0,34.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,174,51,51,0,11.668,11.668,0.000,0.000,11.400,1.267,2.5,0.0,435,5,4.500,4.515,12.8,-910,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1194,273.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.664,45,190,100,19000.0,56.5,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.809,10.809,0.000,0.000,11.400,1.267,1.7,0.0,255,5,4.500,4.515,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1194,377.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,100.0,100.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
18.728,45,246,99,24354.0,63.5,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,160,51,51,0,10.765,10.765,0.000,0.000,11.400,1.267,2.2,0.0,60,5,4.500,4.515,12.8,0,-0.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1194,291.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,99.0,99.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
